lot_id,origin,process,varietal,sca_score,profile,Profile_SCA_Valid,standard_flavour
ATT220192,India,Anaerobic Natural,Catimor,85.5,"Complex, Long, Toned, Black Cherry, Prune, Dark Chocolate","dark chocolate, prune","Fruity, Nutty/Cocoa"
Terms & Conditions:,,,,,,,
Pricing and quantity subject to unsold and confirmation ,,,,,,,
All coffees located in NL (Netherlands): prices exclude 9% BTW / VAT (only charged for companies registered in The Netherlands),,,,,,,
"All coffees located in Antwerp, Belgium: prices exclude 6% BTW / VAT (only charged for companies registered in Belgium)",,,,,,,
"All coffees located in Łódź, Poland: prices exclude 23% VAT (only charged for companies registered in Poland)",,,,,,,
Contracting of coffees is possible. Please contact us for further details,,,,,,,
Prices valid till 31-08-2024,,,,,,,
Click here for our detailed terms & conditions,,,,,,,
ATT230139,Honduras,Washed,Typica,85.25,"Smooth, Pleasant mouthfeel, Silky, Strawberry, Dark Chocolate","dark chocolate, strawberry","Fruity, Nutty/Cocoa"
ATT230244,Colombia,Sugar Cane,Castillo / Colombia,84.5,"Juicy, Long, Well Balanced, Red Fruits, Vanilla, Butterscotch",vanilla,Sweet
ATT230484,Colombia,Washed,Caturra,84.0,"Caramel, Red Fruit, Peach, Medium Body, Medium Acidity","caramel, peach","Fruity, Sweet"
ATT230485,Colombia,Washed,Caturra,84.25,"Sweet, Peachy, Sparkling Body, Medium Acidity",,
ATT230486,Colombia,Washed,Caturra,84.5,"Citric acidity, Round body, Long aftertaste, Orange, Yellow",orange,Fruity
ATT230487,Colombia,Washed,Caturra,84.0,"Caramel, Toasted almond, Tangerine, Sweet, Medium Body",caramel,Sweet
ATT230439 ,Colombia,Washed,Colombia / Castillo,84.0,"Grape, Orange blossom, Milk chocolate, Caramel","caramel, grape, milk chocolate","Fruity, Nutty/Cocoa, Sweet"
ATT230307,India,Monsooned,S-795,,-,,
ATT230105,Guatemala,Washed,Bourbon / Caturra,84.75,"Stone Fruits, Chocolate, Hazelnut, Balanced, Round","chocolate, hazelnut",Nutty/Cocoa
ATT230164,Guatemala,Washed,Caturra / Pache,,"Complex, Vibrant Acidity, Red Apple, Strawberry Vanilla, Melon ",,
ATT230175,Mexico,Anaerobic Natural,Geisha / Caturra,86.75,"Bright, Juicy, Cantalope, White Grape, Vanilla Ice Cream",,
ATT230193,Kenya,Washed,SL-28 / SL-34,87.0,"Juicy, Sweet, Srawberry, Cranberry, Blackcurrent, Thick",,
ATT230151,Kenya,Washed,SL-28 / SL-34,87.0,"Smooth, Tealike, Floral, Jasmine, Mint, Speculaas",jasmine,Floral
ATT230195,Kenya,Washed,SL-28 / SL-34,85.25,"Sweet, Melon, Fresh Lemon, Tealike, Red Current, Caramel",caramel,Sweet
ATT220176,Honduras,Natural,Typica,85.75,"Smooth Juicy Body, Peach, 
Mango, Liquor",peach,Fruity
ATT220251,Honduras,Natural,Catuai,86.0,"Long, Fruity , Floral, Cherry, Mandarin, Milk Chocolate","cherry, mandarin, milk chocolate","Fruity, Nutty/Cocoa"
ATT210306,Colombia,"Washed - Natural Fermented 
48Hrs","Caturra / 
Colombia",86.5,"Soft, Sweet, Orange, Walnut, 
Caramel, Cacao Nibs","caramel, orange","Fruity, Sweet"
ATT220346,Rwanda,Natural,Red Bourbon,87.25,"Complex, Rose, Strawberry, Raspberry, Long, Good Finish","raspberry, rose, strawberry","Floral, Fruity"
ATT220347,Rwanda,Honey,Red Bourbon,87.0,"Complex, Earl Grey Tea, Cinnamon, Cardemom, Floral, Bright",cinnamon,Spices
ATT220370,Brazil,Natural,Yellow Catuai,86.5,"Peach, Mandarin, Caramel, Cacao Nibs, Juicy Sweet, Full Bodied, Long ","caramel, mandarin, peach","Fruity, Sweet"
ATT220379,Brazil,Natural,Blend,83.75,"Walnut, Milk Chocolate, Good Sweetness, Mellow Acidity",milk chocolate,Nutty/Cocoa
ATT230274,India,Aerobic Washed,Catimor,85.5,"Creamy, Long, Marzipan, Cardamom, Vanilla, Bakers Chocolate",vanilla,Sweet
ATT230207,India,Washed,S-795,84.5,"Clean, Well Balanced, Peanut Butter, Dark Chocolate, Hazelnut","dark chocolate, hazelnut",Nutty/Cocoa
ATT230205,India,Washed,CxR,81.25,"Clean, Dark Chocolate, Hazelnut, Pepper","dark chocolate, hazelnut, pepper","Nutty/Cocoa, Spices"
ATT220373,Brazil,Natural,Catucai,85.5,"Orange, Apricot, Hazelnut, Caramel, Good Sweetness, Well Balanced ","caramel, hazelnut, orange","Fruity, Nutty/Cocoa, Sweet"
ATT230112,Vietnam,Natural,Blend,,-,,
Prices valid till 30-11-2023,,,,,,,
ATT240290,Colombia,Anaerobic Washed,Geisha,87.0,"Yellow fruits, lemongrass, floral, juicy mouthfeel,
honey aftertaste",,
ATT240291,Colombia,Natural,Pink Bourbon,87.5,"Red berries, banana, pink guava, coating mouthfeel,
boosy finish",,
ATT250162,Colombia,"Washed Anaerobic
Fermentation","Caturra - Colombia -
Castillo",87.5,"Stewed plum, raisin, maple, round body, white
chocolate finish",raisin,Fruity
