lot_id,origin,process,varietal,sca_score,profile,Profile_SCA_Valid,standard_flavour
ATT240109,Colombia,Natural,Caturra,86.5,"Raspberry, fruity, milk choco, creamy, melon, nutella",raspberry,Fruity
ATT240151,Colombia,Washed,Caturra,85.75,"Vanilla, biscuit, creamy body, balanced aftertaste",vanilla,Sweet
ATT240292,Colombia,Natural,Bourbon Sidra,87.5,"Cinnamon, milk chocolate, orange, silky, clove, spice","cinnamon, clove, milk chocolate, orange","Fruity, Nutty/Cocoa, Spices"
ATT240301,Colombia,Washed,Tabi,86.5,"Vanilla, milk choco, strawberry, balanced body","strawberry, vanilla","Fruity, Sweet"
ATT240413,Colombia,"Honey, Lychee profile",Caturra,87.0,"Citric, silky, caramel sauce, juicy, lychee, honey, cherry in sirup",honey,Sweet
ATT240414,Colombia,"Honey, Strawberry profile",Caturra,87.0,"Milk chocolate, red fruits, strawberry, silky, candied fruit","milk chocolate, strawberry","Fruity, Nutty/Cocoa"
ATT240415,Colombia,"Honey, Kiwi profile",Caturra,87.0,"Aromatic, green apple, kiwi",,
ATT240133,Ethiopia,Natural,Heirloom,86.5,"Mango, tropical fruits, watermelon, banana, fruity aftertaste, balanced acidity, clean",,
ATT240134,Ethiopia,Washed,Heirloom,86.25,"Apple, floral, orange, tea-like, long aftertaste","apple, orange",Fruity
ATT240136,Ethiopia,Natural,Heirloom,86.5,"Super sweet, cherry, grapes, chocolate, soft body, long finish, balanced.","cherry, chocolate","Fruity, Nutty/Cocoa"
ATT240139,Ethiopia,Natural,Heirloom,86.75,"Strawberry, chocolate, vibrant acidity, long and intense floral finish","chocolate, strawberry","Fruity, Nutty/Cocoa"
ATT240345,Brazil,Natural,Blend,,"Chocolate, Hazelnut, Tangerine","chocolate, hazelnut",Nutty/Cocoa
ATT240370,Brazil,Natural,Blend,,"Dark Chocolate, Hazelnut, Apricot","dark chocolate, hazelnut",Nutty/Cocoa
ATT240176,Kenya,Washed ,"SL 28, Ruiru 11, Batian",85.75," Floral, vanilla, juicy acidity, good and balanced aftertaste",vanilla,Sweet
ATT240336,Rwanda,Natural,Bourbon,86.5,"Fruity, sugarcane, juicy  good finish",,
ATT240340,Rwanda,Washed,Bourbon,85.75,"Oranges, fruity flavors, complex acidity, long finish, rounded body.",,
ATT240353,Peru,Washed,"Caturra, Bourbon, Mundo Novo",84.5,"Dried fruits, cup chocolate, nuts, sweet finish, malt",malt,Roasted
ATT240365,Peru,Washed,Bourbon,86.0,"Citrus fruits, panela, strawberries, hazelnut, hierba luisa, camomile, chocolate, berries, creamy body, sweetness, prolonged after taste.","chocolate, hazelnut",Nutty/Cocoa
ATT240397,Peru,Washed,"Bourbon, Caturra",86.75,"Peach, honey, red fruits, caramel, rose wine, blonde raisins, creamy, complex, round","caramel, honey, peach","Fruity, Sweet"
ATT210301,Colombia,Washed,Castillo & Colombia,,"Red Fruits, Citrus Notes, Sugar Cane, Candy",,
Prices valid till 28-02-2025,,,,,,,
ATT230440,Colombia,Anaerobic Honey,Caturra Chiroso,,"Delicate, Rose, Tea like, Raspberry, Honey, Floral","honey, raspberry, rose","Floral, Fruity, Sweet"
ATT240101,Colombia,Natural,Ombligón,87.5,"Mango, tropical, Pina Colada,fermented, black currant, full and intese body, complex aftertaste",fermented,Sour/Fermented
ATT240102,Colombia,Washed,Pink Bourbon,86.0,"Orange, smooth, bright acidity, raspberry, dark chocolate","dark chocolate, orange, raspberry","Fruity, Nutty/Cocoa"
ATT240105,Colombia,Washed,  Yellow Pacamara,86.75,"lime, chocolate, stone fruits, bright acidity, coating body, med - long aftertaste ","chocolate, lime","Fruity, Nutty/Cocoa"
ATT240113,Colombia,Honey Spice ,Papayo Bourbon,86.25,"Cinnamon, jagermeister!, anice, spicy, complex, taste like christmas ",cinnamon,Spices
ATT240150,Colombia,Washed,Caturra,86.0,"Caramel, nougat, orange, milky and soft body, lingering aftertaste","caramel, orange","Fruity, Sweet"
ATT230554,Brazil,Natural,Yellow Bourbon,84.5,"Bonbon, dark chocolate, butter scotch, mandarin, mild acidity, full body, long aftertaste","dark chocolate, mandarin","Fruity, Nutty/Cocoa"
ATT230567,Vietnam,Wet Polished,Blend,,"Cacao, Caramel, Peanut","cacao, caramel, peanut","Nutty/Cocoa, Sweet"
ATT240131,Ethiopia,Washed,Heirloom,86.75,"Forest fruits, lemon zest, grapefruit. black tea, tea like body",,
ATT240135,Ethiopia,Washed,Heirloom,85.75,"Floral, orange, milk chocolate, plum, medium acidity, creamy and silky body","milk chocolate, orange","Fruity, Nutty/Cocoa"
ATT240208,Ethiopia,Washed,Heirloom,84.5,"Banana, ice cream, sweet, round acidity, high quality full body",,
Prices valid till 31-05-2024,,,,,,,
ATT240295,Colombia,Anaerobic Washed,Geisha,87.5,"Floral, clove, ginger, green tea, lemongrass.",clove,Spices
ATT250171,Colombia,"Washed co feremented,
watermelon",Typica,86.0,"Watermelon, malic acidity, light body",,
ATT250172,Colombia,"Anaerobic natural, yeast",Papayo,86.0,"Mon cheri chocolate, lactic acidity",,
ATT250196,El Salvador,Castillo - Bourbon,Anaerobic Natural,88.0,"Pineapple, tropical fruits, merlot, chocolate,
consistent, peach, mazapan","chocolate, peach, pineapple","Fruity, Nutty/Cocoa"
ATT230312,Honduras,Natural,Typica,86.75,"Smooth, Long, Nectarine, Red Apple,
Summer Fruits, Buttery mouthfeel",,
ATT230313,Honduras,Natural,Typica,86.25,"Juicy, Fruity, Pleasant Acidity, Orange,
Lemon, Mint, Cinnamon","cinnamon, lemon, orange","Fruity, Spices"
ATT230439,Colombia,Washed,"Colombia /
Castillo",84.0,"Grape, Orange blossom, Milk chocolate,
Caramel","caramel, grape, milk chocolate","Fruity, Nutty/Cocoa, Sweet"
ATT240137,Ethiopia,Washed,Heirloom,86.5,"Nectarine, vanilla, mint, bright citric acidity, round balanced body, good aftertaste - lingering",vanilla,Sweet
